station,easting,northing,elevation
"21167",533204.707,6382993.171,100.000
"21168",533214.687,6382993.794,100.000
"21169",533224.668,6382994.417,100.000
"21170",533234.649,6382995.040,100.000
"21171",533244.629,6382995.663,100.000
"21172",533254.610,6382996.286,100.000
"21173",533264.590,6382996.909,100.000
"21174",533274.571,6382997.531,100.000
"21175",533284.552,6382998.154,100.000
"21176",533294.532,6382998.777,100.000
"21177",533304.513,6382999.400,100.000
"21178",533314.493,6383000.023,100.000
"21179",533324.474,6383000.646,100.000
"21180",533334.454,6383001.269,100.000
"21181",533344.435,6383001.891,100.000
"21182",533354.416,6383002.514,100.000
"21183",533364.396,6383003.137,100.000
"21184",533374.377,6383003.760,100.000
"21185",533384.357,6383004.383,100.000
"21186",533394.338,6383005.006,100.000
"21187",533404.319,6383005.629,100.000
"21188",533414.299,6383006.251,100.000
"21189",533424.280,6383006.874,100.000
"21190",533434.260,6383007.497,100.000
"21191",533444.241,6383008.120,100.000
"21192",533454.221,6383008.743,100.000
"21193",533464.202,6383009.366,100.000
"21194",533474.183,6383009.989,100.000
"21195",533484.163,6383010.611,100.000
"21196",533494.144,6383011.234,100.000
"21197",533504.124,6383011.857,100.000
"21198",533514.105,6383012.480,100.000
"21199",533524.086,6383013.103,100.000
"21200",533534.066,6383013.726,100.000
"21201",533544.047,6383014.349,100.000
"21202",533554.027,6383014.971,100.000
"21203",533564.008,6383015.594,100.000
"21204",533573.988,6383016.217,100.000
"21205",533583.969,6383016.840,100.000
"21206",533593.950,6383017.463,100.000
"21207",533603.930,6383018.086,100.000
"21208",533613.911,6383018.709,100.000
"21209",533623.891,6383019.331,100.000
"21210",533633.872,6383019.954,100.000
"21211",533643.853,6383020.577,100.000
"21212",533653.833,6383021.200,100.000
"21213",533663.515,6383023.355,100.000
"21214",533673.000,6383026.523,100.000
"21215",533682.485,6383029.692,100.000
"21216",533691.970,6383032.860,100.000
"21217",533701.454,6383036.029,100.000
"21218",533710.939,6383039.197,100.000
"21219",533720.424,6383042.365,100.000
"21220",533729.909,6383045.534,100.000
"21221",533739.394,6383048.702,100.000
"21222",533748.878,6383051.871,100.000
"21223",533758.363,6383055.039,100.000
"21224",533767.848,6383058.208,100.000
"21225",533777.333,6383061.376,100.000
"21226",533786.817,6383064.545,100.000
"21227",533796.302,6383067.713,100.000
"21228",533805.787,6383070.882,100.000
"21229",533815.272,6383074.050,100.000
"21230",533824.756,6383077.218,100.000
"21231",533834.241,6383080.387,100.000
"21232",533843.726,6383083.555,100.000
"21233",533853.211,6383086.724,100.000
"21234",533862.696,6383089.892,100.000
"21235",533872.180,6383093.061,100.000
