Filename	Latitude	Longitude
Line 1_Albert Rd NE to SW_GRMN0811_frame_001589_sec_0_00_53.jpg	-32.37149843601791	147.48705238872355
Line 1_Albert Rd NE to SW_GRMN0811_frame_001619_sec_0_00_54.jpg	-32.3715999264484	147.48688091378048
Line 1_Albert Rd NE to SW_GRMN0811_frame_001649_sec_0_00_55.jpg	-32.371704115994255	147.48671057236834
Line 1_Albert Rd NE to SW_GRMN0811_frame_001679_sec_0_00_56.jpg	-32.37181916068866	147.48654309701743
Line 1_Albert Rd NE to SW_GRMN0811_frame_001709_sec_0_00_57.jpg	-32.37194566835925	147.48637191992708
Line 1_Albert Rd NE to SW_GRMN0811_frame_001739_sec_0_00_58.jpg	-32.37207143873258	147.48620705082567
Line 1_Albert Rd NE to SW_GRMN0811_frame_001769_sec_0_00_59.jpg	-32.372197209105906	147.48604218172426
Line 1_Albert Rd NE to SW_GRMN0811_frame_001799_sec_0_01_00.jpg	-32.372322979479236	147.48587731262288
Line 1_Albert Rd NE to SW_GRMN0812_frame_000000_sec_0_00_00.jpg	-32.3723550047725	147.485907012597
Line 1_Albert Rd NE to SW_GRMN0812_frame_000030_sec_0_00_01.jpg	-32.37250670347364	147.4857682530393
Line 1_Albert Rd NE to SW_GRMN0812_frame_000060_sec_0_00_02.jpg	-32.37266078079118	147.4856452888439
Line 1_Albert Rd NE to SW_GRMN0812_frame_000090_sec_0_00_03.jpg	-32.37283069965426	147.48554100187462
Line 1_Albert Rd NE to SW_GRMN0812_frame_000120_sec_0_00_04.jpg	-32.373005794174944	147.4854381309445
Line 1_Albert Rd NE to SW_GRMN0812_frame_000150_sec_0_00_05.jpg	-32.37317824889905	147.4853337998036
Line 1_Albert Rd NE to SW_GRMN0812_frame_000180_sec_0_00_06.jpg	-32.37335758550095	147.48523831190553
Line 1_Albert Rd NE to SW_GRMN0812_frame_000210_sec_0_00_07.jpg	-32.37354300610718	147.48515570749564
Line 1_Albert Rd NE to SW_GRMN0812_frame_000240_sec_0_00_08.jpg	-32.37373973809185	147.48507883094294
Line 1_Albert Rd NE to SW_GRMN0812_frame_000270_sec_0_00_09.jpg	-32.373944355267994	147.4850097885351
Line 1_Albert Rd NE to SW_GRMN0812_frame_000300_sec_0_00_10.jpg	-32.37414661226798	147.48495118981205
Line 1_Albert Rd NE to SW_GRMN0812_frame_000330_sec_0_00_11.jpg	-32.37435395280827	147.48490582049817
Line 1_Albert Rd NE to SW_GRMN0812_frame_000360_sec_0_00_12.jpg	-32.37456275079401	147.4848625734824
Line 1_Albert Rd NE to SW_GRMN0812_frame_000390_sec_0_00_13.jpg	-32.37476861570033	147.48483019242954
Line 1_Albert Rd NE to SW_GRMN0812_frame_000420_sec_0_00_14.jpg	-32.374978363439475	147.4848044448162
Line 1_Albert Rd NE to SW_GRMN0812_frame_000450_sec_0_00_15.jpg	-32.37518747826107	147.4847676014064
Line 1_Albert Rd NE to SW_GRMN0812_frame_000480_sec_0_00_16.jpg	-32.3753985422105	147.48473005525804
Line 1_Albert Rd NE to SW_GRMN0812_frame_000510_sec_0_00_17.jpg	-32.37561261828061	147.4846900380398
Line 1_Albert Rd NE to SW_GRMN0812_frame_000540_sec_0_00_18.jpg	-32.375828975066575	147.48465517066393
Line 1_Albert Rd NE to SW_GRMN0812_frame_000570_sec_0_00_19.jpg	-32.3760439781752	147.4846222903022
Line 1_Albert Rd NE to SW_GRMN0812_frame_000600_sec_0_00_20.jpg	-32.376269822940266	147.48458993062417
Line 1_Albert Rd NE to SW_GRMN0812_frame_000630_sec_0_00_21.jpg	-32.3764906247333	147.48455891825273
Line 1_Albert Rd NE to SW_GRMN0812_frame_000660_sec_0_00_22.jpg	-32.376717645563225	147.4845293826054
Line 1_Albert Rd NE to SW_GRMN0812_frame_000690_sec_0_00_23.jpg	-32.376936209639524	147.48449986321899
Line 1_Albert Rd NE to SW_GRMN0812_frame_000720_sec_0_00_24.jpg	-32.377151032537185	147.48447433747356
Line 1_Albert Rd NE to SW_GRMN0812_frame_000750_sec_0_00_25.jpg	-32.37736399029379	147.48444134672133
Line 1_Albert Rd NE to SW_GRMN0812_frame_000780_sec_0_00_26.jpg	-32.37758710104969	147.48441425263866
Line 1_Albert Rd NE to SW_GRMN0812_frame_000810_sec_0_00_27.jpg	-32.377804443379894	147.48438723399303
Line 1_Albert Rd NE to SW_GRMN0812_frame_000840_sec_0_00_28.jpg	-32.378022963367414	147.48435374736738
Line 1_Albert Rd NE to SW_GRMN0812_frame_000870_sec_0_00_29.jpg	-32.37824001023549	147.48430820639217
Line 1_Albert Rd NE to SW_GRMN0812_frame_000900_sec_0_00_30.jpg	-32.37846229998394	147.484260443039
Line 1_Albert Rd NE to SW_GRMN0812_frame_000930_sec_0_00_31.jpg	-32.37868288577534	147.48421117027297
Line 1_Albert Rd NE to SW_GRMN0812_frame_000960_sec_0_00_32.jpg	-32.37890328548845	147.4841368176787
Line 1_Albert Rd NE to SW_GRMN0812_frame_000990_sec_0_00_33.jpg	-32.37911317630675	147.48403867900353
Line 1_Albert Rd NE to SW_GRMN0812_frame_001019_sec_0_00_34.jpg	-32.3793174763341	147.48393031389006
Line 1_Albert Rd NE to SW_GRMN0812_frame_001049_sec_0_00_35.jpg	-32.379518995785126	147.48380653131005
Line 1_Albert Rd NE to SW_GRMN0812_frame_001079_sec_0_00_36.jpg	-32.37971122207214	147.4836668880514
Line 1_Albert Rd NE to SW_GRMN0812_frame_001109_sec_0_00_37.jpg	-32.37990527048423	147.4835162492391
Line 1_Albert Rd NE to SW_GRMN0812_frame_001139_sec_0_00_38.jpg	-32.380094096188394	147.483356420151
Line 1_Albert Rd NE to SW_GRMN0812_frame_001169_sec_0_00_39.jpg	-32.38027438736055	147.48317974798832
Line 1_Albert Rd NE to SW_GRMN0812_frame_001199_sec_0_00_40.jpg	-32.380451712898	147.482992948498
Line 1_Albert Rd NE to SW_GRMN0812_frame_001229_sec_0_00_41.jpg	-32.380609643742446	147.4827887431211
